link,price,area,rooms,floor,floors_in_building,year_built,building_type,building_material,heating,market,finishing,elevator,balcony/garden,parking,city,district,region
https://www.otodom.pl/pl/oferta/2-pokoje-garderoba-podlogowka-strych-17m2-ID4wMCl,369000,47.62,2.0,1,1.0,2025.0,apartment,silikat,gas,PRIMARY,to_completion,0,1,1,siemianice,ul. Słupska,pomorskie
https://www.otodom.pl/pl/oferta/4-pokojowe-po-remoncie-os-zatorze-prowizja-0-ID4zhVa,412000,59.0,4.0,3,4.0,,block,,urban,SECONDARY,ready_to_use,0,0,0,slupsk,,pomorskie
https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-z-ogrodkiem-2-miejsca-postojowe-ID4vZhl,535000,44.73,3.0,0,,,ribbon,brick,gas,PRIMARY,to_completion,0,1,1,zielonka,ul. Mazowiecka,mazowieckie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-bezposrednio-ID4x5Il,1001728,89.44,4.0,1,1.0,2027.0,,,,PRIMARY,to_completion,0,0,0,rzaska,,malopolskie
https://www.otodom.pl/pl/oferta/cieple-2-pokoje-blisko-centrum-43m-1-pietro-balkon-roweckiego-ID4zhV1,289000,43.25,2.0,1,3.0,,block,brick,gas,SECONDARY,ready_to_use,0,1,0,sosnowiec,Pogoń,slaskie
https://www.otodom.pl/pl/oferta/mieszkanie-i-pietro-57-97-m2-2-miejsca-postojowe-w-cenie-ID4yera,425000,57.97,4.0,1,,,,brick,gas,PRIMARY,to_completion,0,0,1,radzymin,"Mieszkanie I piętro - 57,97 m2 - 2 miejsca postojowe w CENIE",mazowieckie
https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-ogrodem-ID4ytCM,570000,90.6,3.0,0,,,house,,boiler_room,SECONDARY,ready_to_use,0,1,0,nieborowice,ul. Główna,slaskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-ogrodek-bez-prowizji-ID4v1B6,911186,57.67,3.0,0,2.0,2026.0,,,,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-69m2-bez-prowizji-ID4x5IG,826931,69.49,4.0,0,1.0,2027.0,,,,PRIMARY,to_completion,0,0,0,rzaska,,malopolskie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-balkon-bezposrednio-ID4unyf,948476,72.5,4.0,1,5.0,2025.0,,,,PRIMARY,to_completion,1,1,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-48m2-loggia-bez-prowizji-ID4unjj,687706,48.43,2.0,2,7.0,2027.0,,,,PRIMARY,to_completion,1,0,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/2-pok-bezposrednio-ogrodek-z-widokiem-na-zielen-sloneczne-ID4z0Se,310000,32.0,2.0,0,1.0,2025.0,apartment,brick,,SECONDARY,to_completion,0,1,1,mszczonow,,mazowieckie
https://www.otodom.pl/pl/oferta/mieszkanie-wola-2-pokoje-48m2-1-pietro-super-lokalizacja-ID4yj5w,319000,48.0,2.0,1,3.0,,block,concrete_plate,urban,SECONDARY,ready_to_use,0,1,0,wola,ul. Górnicza,slaskie
https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-balkonem-i-2-miejscami-postojowymi-ID4viyU,699000,134.0,4.0,1,,,ribbon,brick,gas,PRIMARY,to_completion,0,0,1,kobylka,,mazowieckie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bez-prowizji-ID4uniN,722200,46.0,2.0,6,7.0,2027.0,,,,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-w-ok-centrum-ID4wS9J,445000,80.0,4.0,4,4.0,1970.0,house,concrete_plate,urban,SECONDARY,ready_to_use,0,1,0,stargard,Centrum,zachodniopomorskie
https://www.otodom.pl/pl/oferta/2pok-taras-ogrodek-nowe-bud-ogrody-hallera-ID4yOOY,695000,37.82,2.0,0,4.0,2015.0,block,silikat,boiler_room,SECONDARY,,1,1,0,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4ypd2,572686,33.35,2.0,4,8.0,2027.0,block,,urban,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-w-krasniku-fabrycznym-ID4zhWQ,249000,48.13,2.0,1,2.0,,,,urban,SECONDARY,to_renovation,0,0,0,krasnik,,lubelskie
https://www.otodom.pl/pl/oferta/nowe-wykonczone-2-pokoje-43-4m2-z-ogrodkiem-55m2-brak-pcc-wlasciciel-ID4yahx,790000,43.4,2.0,0,6.0,2024.0,apartment,other,urban,SECONDARY,ready_to_use,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-w-centrum-ID4xCNm,545000,100.0,4.0,3,3.0,2005.0,house,other,gas,SECONDARY,ready_to_use,0,1,1,stargard,Centrum,zachodniopomorskie
https://www.otodom.pl/pl/oferta/mieszkanie-52-m2-2-pokoje-warszawa-miedzylesie-ID4zhWW,830000,51.9,2.0,2,2.0,1953.0,block,brick,urban,SECONDARY,ready_to_use,0,1,1,warszawa,Wawer,mazowieckie
https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-os-tkaczew-ID4z09x,380000,51.0,3.0,3,3.0,,block,brick,urban,SECONDARY,to_renovation,0,1,0,lowicz,,lodzkie
https://www.otodom.pl/pl/oferta/mieszkanie-51-86-m2-z-ogrodkiem-i-2-miejsca-postojowe-ID4yeqM,425000,51.86,3.0,0,,,,brick,gas,PRIMARY,to_completion,0,1,1,radzymin,"Mieszkanie 51,86 m2 z ogródkiem i 2 miejsca postojowe",mazowieckie
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-5-pokojowe-z-balkonem-2-m-postojowe-w-cenie-ID4uQWF,699000,94.97,5.0,1,,,ribbon,brick,gas,PRIMARY,to_completion,0,1,1,zielonka,Przestronne mieszkanie 5 pokojowe z balkonem + 2 m. postojowe w CENIE,mazowieckie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-ogrodek-bezposrednio-ID4ulek,818049,60.23,3.0,0,5.0,2025.0,,,,PRIMARY,to_completion,1,1,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/okazyjna-cena-3-niezalezne-pokoje-dwustronne-co-miejskie-ID4z00d,259000,48.0,3.0,3,4.0,,block,,urban,SECONDARY,to_renovation,0,1,0,knurow,,slaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bezposrednio-ID4v1Au,742880,46.43,2.0,2,2.0,2026.0,,,,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/zielona-podkowa-caly-segment-dom-68d-ID4o6rl,1917290,212.7,4.0,0,1.0,2024.0,apartment,cellular_concrete,gas,PRIMARY,to_completion,0,1,1,otrebusy,,mazowieckie
https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-5-pokojowe-94-m2-2-m-postojowe-w-cenie-ID4uQWD,699000,94.97,5.0,1,,,ribbon,brick,gas,PRIMARY,to_completion,0,1,1,zielonka,"Mieszkanie - dwupoziomowe 5 pokojowe, 94 m2 + 2 m postojowe w cenie!",mazowieckie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-balkon-bezposrednio-ID4ypcf,804081,53.18,3.0,5,8.0,2027.0,block,,urban,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/medykow-32-mieszkanie-4-pok-31-ID4nj25,822600,82.26,4.0,1,4.0,2026.0,apartment,,urban,PRIMARY,to_completion,1,1,1,katowice,Ligota-Panewniki,slaskie
https://www.otodom.pl/hpr/pl/oferta/nowe-wykonczone-2-pokoje-43-4m2-z-ogrodkiem-55m2-brak-pcc-wlasciciel-ID4yahx,790000,43.4,2.0,0,6.0,2024.0,apartment,other,urban,SECONDARY,ready_to_use,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-2-balkony-ID4ypbF,950253,72.12,4.0,1,8.0,2027.0,block,,urban,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-ID4ulel,628307,45.34,2.0,3,5.0,2025.0,,,,PRIMARY,to_completion,1,1,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/inne-metraze-uklady-pietrawejscie-na-budowe-ID4zhV3,562587,47.67,3.0,1,4.0,2025.0,block,,urban,PRIMARY,to_completion,1,1,1,poznan,,wielkopolskie
https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-z-oddzielna-kuchnia-ochota-ul-maszynowa-ID4z6P4,645000,37.0,1.0,0,,2009.0,apartment,,urban,SECONDARY,ready_to_use,0,0,1,warszawa,Ochota,mazowieckie
https://www.otodom.pl/pl/oferta/zamieszkaj-w-czyzynach-przestronne-4-pokoje-z-balkonami-i-widokiem-ID4vUpy,1277408,84.04,4.0,1,3.0,2026.0,block,concrete,gas,PRIMARY,to_completion,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-71m2-2-balkony-ID4x6sD,732742,71.14,3.0,2,4.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,katowice,Wełnowiec-Józefowiec,slaskie
https://www.otodom.pl/pl/oferta/prado-katowice-mieszkanie-4-pok-a2-2-02-ID4qfYp,1146780,99.72,4.0,2,2.0,2026.0,block,,,PRIMARY,to_completion,0,1,1,katowice,Piotrowice - Ochojec,slaskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-71m2-2-balkony-ID4x6sp,725628,71.14,3.0,1,4.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,katowice,Wełnowiec-Józefowiec,slaskie
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-wysoki-standard-cena-do-negocjacji-ID4zhWL,418000,54.5,3.0,2,5.0,1987.0,block,concrete_plate,urban,SECONDARY,ready_to_use,0,1,1,wojkowice,ul. Plaka,slaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-bezposrednio-ID4vIxQ,866021,43.26,2.0,1,4.0,2026.0,,,,PRIMARY,to_completion,1,1,1,warszawa,Wilanów,mazowieckie
https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-w-nowym-budownictwie-ID4vMq2,387000,50.3,2.0,2,2.0,,apartment,,gas,SECONDARY,ready_to_use,0,0,0,rybnik,ul. Ptasia,slaskie
https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-na-pierwszym-pietrze-szczecin-krzekowo-bezrzecze-ID4z0Si,645000,67.6,3.0,1,2.0,2000.0,block,brick,gas,SECONDARY,ready_to_use,0,1,0,szczecin,"3 pokoje z balkonem na pierwszym piętrze, Szczecin Krzekowo-Bezrzecze",zachodniopomorskie
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-balkon-ID4uihm,435764,53.68,3.0,3,3.0,2025.0,,,,PRIMARY,to_completion,1,1,0,kleszczewo,ul. Sportowa,wielkopolskie
https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-obok-metra-wierzbno-zapraszam-na-prezentacje-ID4yT0C,1096815,62.11,3.0,1,,2025.0,block,brick,urban,PRIMARY,to_completion,1,1,1,warszawa,Gotowe 3 pokoje_ obok Metra Wierzbno - Zapraszam na prezentację,mazowieckie
https://www.otodom.pl/pl/oferta/osiedle-kaskada-mieszkanie-1-pok-b13-ID4wXX5,297125,36.91,1.0,1,6.0,2024.0,block,,,PRIMARY,ready_to_use,1,1,1,zabrze,al. Aleja Wojciecha Korfantego,slaskie
https://www.otodom.pl/pl/oferta/przestronne-trzypokojowe-mieszkanie-2-miejsca-postojowe-komorka-ID4zhWN,1299000,70.26,3.0,3,,2012.0,block,,boiler_room,SECONDARY,ready_to_use,1,1,1,wroclaw,,dolnoslaskie
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52m2-balkon-ID4ujAr,453255,52.96,2.0,3,4.0,2024.0,,,,PRIMARY,to_completion,0,1,1,miekinia,,dolnoslaskie
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-os-armii-krajowej-48m2-ID4zhWM,389000,47.9,2.0,9,10.0,1982.0,block,concrete_plate,urban,SECONDARY,to_renovation,1,1,0,opole,ZWM,opolskie
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-w-krasniku-fabrycznym-ID4zhWQ,249000,48.13,2.0,1,2.0,,,,urban,SECONDARY,to_renovation,0,0,0,krasnik,,lubelskie
https://www.otodom.pl/pl/oferta/mieszkanie-52-m2-2-pokoje-warszawa-miedzylesie-ID4zhWW,830000,51.9,2.0,2,2.0,1953.0,block,brick,urban,SECONDARY,ready_to_use,0,1,1,warszawa,Wawer,mazowieckie
https://www.otodom.pl/hpr/pl/oferta/mieszkanie-52-m2-2-pokoje-warszawa-miedzylesie-ID4zhWW,830000,51.9,2.0,2,2.0,1953.0,block,brick,urban,SECONDARY,ready_to_use,0,1,1,warszawa,Wawer,mazowieckie
https://www.otodom.pl/pl/oferta/ogrody-bluszczanska-2-pokoje-z-garderoba-parking-ID4z8B1,1099000,66.6,2.0,3,5.0,2014.0,,,,SECONDARY,,1,1,1,warszawa,Mokotów,mazowieckie
https://www.otodom.pl/pl/oferta/komfortowy-apartament-w-sienna-czarna-gora-ID4z9Yj,619900,36.55,2.0,,8.0,2022.0,apartment,cellular_concrete,,SECONDARY,,1,0,1,sienna,Komfortowy apartament w Sienna- Czarna Góra,dolnoslaskie
https://www.otodom.pl/pl/oferta/mieszkanie-b9-na-2-pietrze-w-budynku-b3-ID4zhWU,515760,61.4,3.0,2,3.0,2024.0,,silikat,urban,PRIMARY,to_completion,0,1,1,police, Anny Jagiellonki,zachodniopomorskie
https://www.otodom.pl/pl/oferta/piekne-2-pokojowe-mieszkanie-42-m2-w-rzeszowie-ID4yGmD,559000,42.01,2.0,9,17.0,2025.0,block,brick,urban,SECONDARY,ready_to_use,1,0,1,rzeszow,,podkarpackie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-93m2-balkon-bezposrednio-ID4vIyb,1733541,93.71,4.0,1,4.0,2026.0,,,,PRIMARY,to_completion,1,1,1,warszawa,Wilanów,mazowieckie
https://www.otodom.pl/pl/oferta/bronowice-2-pokoje-z-garderoba-i-miejscem-postojowym-ID4xGAg,799000,45.96,2.0,1,4.0,2021.0,block,brick,urban,SECONDARY,ready_to_use,1,1,1,krakow,,malopolskie
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-2-balkony-ID4x6tL,840768,87.58,4.0,3,4.0,2027.0,block,,,PRIMARY,to_completion,1,1,1,katowice,Wełnowiec-Józefowiec,slaskie
https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-obok-metra-wierzbno-zapraszam-na-prezentacje-ID4yT0G,715000,37.4,2.0,,,2025.0,block,brick,urban,PRIMARY,to_completion,1,1,1,warszawa,⭐Gotowe 2 pokoje obok Metra Wierzbno⭐ Zapraszam na prezentację,mazowieckie
